number,number_of_times_appeared
0000,16
0001,11
0002,15
0003,9
0004,8
0005,5
0006,14
0007,11
0008,13
0009,7
0010,13
0011,11
0012,9
0013,11
0014,8
0015,21
0016,11
0017,10
0018,11
0019,20
0020,18
0021,13
0022,11
0023,9
0024,10
0025,12
0026,12
0027,13
0028,10
0029,9
0030,13
0031,7
0032,16
0033,12
0034,16
0035,9
0036,12
0037,9
0038,10
0039,11
0040,8
0041,12
0042,14
0043,12
0044,17
0045,16
0046,13
0047,7
0048,14
0049,21
0050,8
0051,15
0052,10
0053,11
0054,19
0055,8
0056,13
0057,3
0058,12
0059,17
0060,9
0061,10
0062,12
0063,7
0064,14
0065,9
0066,9
0067,13
0068,8
0069,10
0070,12
0071,13
0072,13
0073,11
0074,10
0075,10
0076,10
0077,11
0078,14
0079,16
0080,8
0081,21
0082,11
0083,15
0084,14
0085,14
0086,15
0087,15
0088,14
0089,13
0090,12
0091,9
0092,9
0093,14
0094,19
0095,18
0096,12
0097,15
0098,14
0099,11
0100,12
0101,7
0102,15
0103,18
0104,19
0105,4
0106,12
0107,13
0108,11
0109,9
0110,14
0111,21
0112,10
0113,6
0114,18
0115,14
0116,9
0117,12
0118,12
0119,9
0120,12
0121,16
0122,7
0123,14
0124,8
0125,12
0126,10
0127,10
0128,10
0129,17
0130,17
0131,10
0132,5
0133,10
0134,18
0135,13
0136,19
0137,18
0138,11
0139,8
0140,10
0141,13
0142,7
0143,14
0144,14
0145,16
0146,21
0147,9
0148,14
0149,16
0150,12
0151,13
0152,17
0153,14
0154,16
0155,10
0156,13
0157,8
0158,16
0159,7
0160,11
0161,12
0162,16
0163,13
0164,11
0165,10
0166,12
0167,11
0168,18
0169,14
0170,15
0171,13
0172,18
0173,8
0174,6
0175,16
0176,10
0177,11
0178,10
0179,10
0180,8
0181,13
0182,11
0183,14
0184,13
0185,14
0186,16
0187,11
0188,20
0189,6
0190,15
0191,18
0192,12
0193,11
0194,11
0195,19
0196,12
0197,15
0198,15
0199,10
0200,13
0201,13
0202,18
0203,17
0204,19
0205,12
0206,14
0207,12
0208,6
0209,16
0210,16
0211,12
0212,16
0213,15
0214,8
0215,14
0216,13
0217,18
0218,8
0219,13
0220,10
0221,15
0222,14
0223,22
0224,6
0225,14
0226,12
0227,14
0228,16
0229,15
0230,13
0231,9
0232,10
0233,18
0234,17
0235,16
0236,13
0237,8
0238,11
0239,9
0240,13
0241,6
0242,14
0243,13
0244,7
0245,15
0246,13
0247,13
0248,8
0249,8
0250,15
0251,16
0252,8
0253,17
0254,14
0255,13
0256,12
0257,12
0258,19
0259,14
0260,12
0261,14
0262,14
0263,16
0264,14
0265,14
0266,13
0267,12
0268,9
0269,17
0270,6
0271,11
0272,18
0273,12
0274,14
0275,13
0276,13
0277,12
0278,13
0279,13
0280,12
0281,11
0282,12
0283,16
0284,12
0285,11
0286,13
0287,11
0288,14
0289,17
0290,17
0291,12
0292,12
0293,18
0294,12
0295,9
0296,11
0297,17
0298,15
0299,11
0300,14
0301,8
0302,13
0303,17
0304,13
0305,14
0306,9
0307,15
0308,7
0309,13
0310,11
0311,13
0312,16
0313,14
0314,12
0315,15
0316,16
0317,13
0318,16
0319,12
0320,17
0321,13
0322,14
0323,18
0324,12
0325,11
0326,9
0327,15
0328,11
0329,10
0330,12
0331,5
0332,12
0333,13
0334,14
0335,15
0336,17
0337,10
0338,10
0339,16
0340,15
0341,16
0342,14
0343,14
0344,16
0345,15
0346,6
0347,9
0348,12
0349,10
0350,5
0351,14
0352,12
0353,11
0354,13
0355,8
0356,14
0357,9
0358,8
0359,11
0360,6
0361,15
0362,8
0363,15
0364,14
0365,12
0366,9
0367,13
0368,13
0369,10
0370,9
0371,14
0372,15
0373,10
0374,13
0375,9
0376,13
0377,8
0378,18
0379,21
0380,11
0381,16
0382,12
0383,12
0384,11
0385,14
0386,22
0387,11
0388,9
0389,21
0390,18
0391,13
0392,10
0393,7
0394,10
0395,7
0396,14
0397,12
0398,9
0399,9
0400,23
0401,13
0402,8
0403,17
0404,12
0405,13
0406,12
0407,9
0408,21
0409,22
0410,15
0411,11
0412,12
0413,7
0414,15
0415,10
0416,20
0417,13
0418,6
0419,10
0420,12
0421,8
0422,15
0423,20
0424,10
0425,9
0426,12
0427,9
0428,8
0429,13
0430,14
0431,13
0432,14
0433,11
0434,11
0435,20
0436,11
0437,10
0438,11
0439,13
0440,6
0441,14
0442,14
0443,5
0444,12
0445,15
0446,12
